"Name","Brief Description","Proximity","Street Address","City","State","Zip Code","Phone Number","Web Site","Hours of Operation"
"AIDS Center of Queens County","Food pantry offering an HIV/AIDS diet. 
","","62-07 Woodside Avenue ","WOODSIDE","NY","11377","(718) 472-9400 x3366","","Tue, Thu: 10:00 AM - 12:00 PM"
"AIDS Center of Queens County","Food pantry offering an HIV/AIDS diet. 
","","161-21 Jamaica Avenue","JAMAICA","NY","11432","(718) 896-2500","","Tue, Thu: 8:30 AM - 11:00 AM"
"AIDS Center of Queens County","Food pantry offering an HIV/AIDS diet. 
","","1139 Foam Place","FAR ROCKAWAY","NY","11691","(718) 739-2525","","Wed, Fri: 11:00 AM - 1:00 PM"
"AIDS Faces NY Inc","Food pantry.","","123 West 115 Street ","NEW YORK","NY","10026","(212) 663-7772","","Thu: 10:00 AM - 1:00 PM"
"Abraham House","Food pantry.","","340 Willis Avenue","BRONX","NY","10454","(718) 292-9321","","Sat: 6:30 AM - 7:30 AM"
"Acts Community Development Corporation","Food pantry.","","2114 Mermaid Avenue","BROOKLYN”,”N:Y”,”11224","(718) 415-1170","","Tue: 6:00 PM - 7:00 PM; Thu: 11:00 AM - 12:00 PM "
"Admirable Church ","Food pantry.","","1910 Flatbush Avenue","BROOKLYN","NY","11210","(718) 649-7531","","Sat: 10:00 AM - 12:00 PM"
"African Service Committee","Food pantry.","","429 West 127th street","NEW YORK","NY","10027","(212) 222-3882","","Mon-Fri: 9:00 AM - 5:00 PM"
"Agape Christian Center","Soup kitchen.","","59-02 Summerfield Street","RIDGEWOOD","NY","11385","(917) 604-4812","","Sat: 12:00 PM - 2:00 PM"
"Agape Christian Center","Food pantry.","","59-02 Summerfield Street","RIDGEWOOD","NY","11385","(917) 604-4812","","Sat: 12:00 PM - 2:00 PM"
"All Nations Baptist Church of Woodhaven","Food pantry.","","86-76 80th Street","WOODHAVEN","NY","11421","(718) 296-2025","","Sat: 1:00 PM - 2:00 PM"
"All People's Church Apostolic Faith, Inc","Food pantry.","","182 Tompkins Avenue","BROOKLYN","NY","11206","(718) 782-3703","","Sat: 10:00 AM - 11:30 AM"
"All Saints Roman Catholic Church","Food pantry.","","47 East 129th Street","NEW YORK","NY","10035","(212) 534-3535","","Sat: 8:30 AM - 10:30 AM"
"Allen Outreach Ministry Feeding Program","Soup kitchen.","","111-54 Merrick Boulevard","JAMAICA","NY","11433","(718) 526-3510","","Mon, Thu: 11:00 AM - 1:00 PM"
"Allen Outreach Ministry Feeding Program","Food pantry.","","111-54 Merrick Boulevard","JAMAICA","NY","11433","(718) 526-3510","","Thu: 11:00 AM - 1:00 PM"
"Ammi Evangelical Baptist Church","Food pantry. ","","1799 Flatbush Avenue","BROOKLYN","NY","11210","(718) 282-7565","","Sat: 12:30 PM - 2:00 PM"
"Ascension Outreach, Inc","Food pantry. This location is open on the 2nd and 4th Wednesday of each month. ","","12 West 11th Street","NEW YORK","NY","10011","(212) 254-8620","","Wed: 8:30 AM - 9:30 AM "
